Date,Open,High,Low,Close,Adj Close,Volume
2016-06-15,0.545468,0.550625,0.535468,0.543593,0.338913,7366400
2016-06-16,0.540625,0.542812,0.529375,0.529687,0.330243,4249600
2016-06-17,0.530625,0.558593,0.530625,0.557812,0.347778,5312000
2016-06-20,0.564843,0.581250,0.564062,0.575000,0.358494,13056000
2016-06-21,0.575156,0.590312,0.572500,0.588750,0.367066,14892800
2016-06-22,0.587968,0.599218,0.585937,0.586718,0.365800,12147200
2016-06-23,0.586718,0.592968,0.579531,0.592968,0.369696,13043200
2016-06-24,0.578437,0.583281,0.565625,0.578125,0.360442,8806400
2016-06-27,0.578125,0.583593,0.549843,0.577968,0.360344,14400000
2016-06-28,0.589218,0.594062,0.587656,0.593750,0.370184,19532800
2016-06-29,0.595000,0.600000,0.591718,0.597656,0.372619,17587200
2016-06-30,0.598125,0.603125,0.596093,0.601562,0.375054,5235200
2016-07-01,0.603593,0.615625,0.603593,0.609375,0.379925,17606400
2016-07-04,0.609375,0.613281,0.598437,0.613281,0.382361,7968000
2016-07-05,0.603593,0.615312,0.603593,0.611718,0.381386,9529600
2016-07-06,0.612812,0.614687,0.607812,0.609375,0.379925,3660800
2016-07-07,0.609375,0.622656,0.609375,0.618750,0.385770,3328000
2016-07-08,0.618750,0.663750,0.617812,0.653125,0.407202,9676800
2016-07-11,0.661562,0.666718,0.642656,0.650625,0.405643,14540800
2016-07-12,0.653750,0.653750,0.639062,0.653125,0.407202,3404800
2016-07-13,0.654687,0.663906,0.652500,0.656250,0.409151,4236800
2016-07-14,0.663906,0.669375,0.656406,0.666406,0.415482,9689600
2016-07-15,0.669375,0.669375,0.659375,0.665000,0.414606,3545600
2016-07-18,0.664687,0.670937,0.662187,0.664531,0.414313,6425600
2016-07-19,0.668750,0.680625,0.665156,0.671875,0.418892,3782400
2016-07-20,0.672343,0.677968,0.666093,0.674218,0.420353,6310400
2016-07-21,0.670781,0.678906,0.670312,0.671875,0.418892,10534400
2016-07-22,0.676093,0.679531,0.670000,0.672343,0.419184,3897600
2016-07-25,0.672343,0.712343,0.671875,0.705937,0.440129,7398400
2016-07-26,0.705937,0.711093,0.699687,0.707968,0.441395,8320000
2016-07-27,0.705468,0.707187,0.696875,0.703750,0.438765,8748800
2016-07-28,0.699531,0.700468,0.688437,0.688437,0.429218,6534400
2016-07-29,0.687500,0.718750,0.687500,0.718750,0.448117,15936000
2016-08-01,0.721093,0.729062,0.710937,0.718750,0.448117,7456000
2016-08-02,0.718750,0.720312,0.671875,0.685156,0.427172,21030400
2016-08-03,0.691406,0.711718,0.690468,0.693750,0.432531,27692800
2016-08-04,0.718750,0.782812,0.716250,0.781250,0.487084,46284800
2016-08-05,0.812500,0.834531,0.790625,0.828125,0.516309,16198400
2016-08-08,0.835000,0.843593,0.821093,0.828906,0.516796,11136000
2016-08-09,0.835937,0.882812,0.835781,0.882812,0.550405,20851200
2016-08-10,0.881718,0.909375,0.881093,0.909375,0.566966,14835200
2016-08-11,0.913906,0.921875,0.867500,0.921875,0.574759,16275200
2016-08-12,0.921718,0.937500,0.913906,0.937031,0.584208,5612800
2016-08-15,0.936875,0.945312,0.913906,0.928906,0.579143,10259200
2016-08-16,0.928906,0.976250,0.928125,0.970937,0.605348,22195200
2016-08-17,0.971875,0.989531,0.954375,0.987500,0.615674,8211200
2016-08-18,0.985781,0.991406,0.965625,0.965625,0.602036,7500800
2016-08-19,0.975000,0.977500,0.955468,0.957812,0.597165,4153600
2016-08-22,0.957812,0.978750,0.943281,0.965625,0.602036,13670400
2016-08-23,0.962031,0.986562,0.962031,0.982812,0.612751,10572800
2016-08-24,0.983593,0.993593,0.971250,0.982812,0.612751,11046400
2016-08-25,0.973437,0.981250,0.965000,0.965000,0.601646,1945600
2016-08-26,0.963750,0.982812,0.946875,0.970000,0.604763,11091200
2016-08-29,0.965000,0.982812,0.953125,0.982812,0.612751,6361600
2016-08-30,0.977031,0.980468,0.953125,0.953906,0.594729,13433600
2016-08-31,0.956250,0.960156,0.935156,0.945312,0.589371,6438400
2016-09-01,0.944843,0.996250,0.939375,0.988437,0.616258,22278400
2016-09-02,0.992812,1.027340,0.984843,1.027340,0.640513,24332800
2016-09-05,1.031250,1.039060,1.030940,1.030940,0.642758,2726400
2016-09-06,1.030780,1.032970,1.019370,1.032810,0.643923,2579200
2016-09-08,1.026560,1.040620,1.016410,1.029690,0.641978,6784000
2016-09-09,1.028750,1.034530,1.010940,1.029530,0.641878,11609600
2016-09-12,1.021090,1.032810,1.004220,1.026560,0.640027,5779200
2016-09-13,1.024060,1.026560,0.953281,0.968750,0.603984,9715200
2016-09-14,0.978593,0.978750,0.955781,0.962031,0.599795,9216000
2016-09-15,0.963437,0.979687,0.959375,0.969687,0.604568,4358400
2016-09-16,0.966562,0.986875,0.925000,0.976562,0.608855,7321600
2016-09-19,0.982031,1.010000,0.978750,1.003120,0.625413,9171200
2016-09-20,0.999687,1.027340,0.989687,1.021880,0.637109,7040000
2016-09-21,1.021880,1.092660,1.021880,1.089220,0.679093,17734400
2016-09-22,1.093750,1.115630,1.068750,1.100470,0.686107,10361600
2016-09-23,1.107340,1.114220,1.087660,1.087660,0.678121,5068800
2016-09-26,1.091410,1.111410,1.091410,1.111410,0.692928,6630400
2016-09-27,1.117030,1.162500,1.112190,1.160940,0.723808,13056000
2016-09-28,1.166880,1.179690,1.147660,1.171880,0.730629,7827200
2016-09-29,1.158440,1.182190,1.155000,1.174060,0.731988,4006400
